file,line,type,commit,author,date,time,timezone,datetime,depth,length
projects\style.css,94,css,11943e93,djmans630,2025-02-07,23:16:14,-08:00,2025-02-07T23:16:14-08:00,0,15
projects\style.css,95,css,11943e93,djmans630,2025-02-07,23:16:14,-08:00,2025-02-07T23:16:14-08:00,0,17
projects\style.css,96,css,11943e93,djmans630,2025-02-07,23:16:14,-08:00,2025-02-07T23:16:14-08:00,0,0
projects\style.css,97,css,11943e93,djmans630,2025-02-07,23:16:14,-08:00,2025-02-07T23:16:14-08:00,0,17
projects\style.css,98,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,99,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,100,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,52
projects\style.css,101,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,12
projects\style.css,102,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,103,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,104,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,8
projects\style.css,105,css,1518c54d,djmans630,2025-02-07,21:28:29,-08:00,2025-02-07T21:28:29-08:00,0,13
projects\style.css,106,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,15
projects\style.css,107,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,23
projects\style.css,108,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,8
projects\style.css,109,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,13
projects\style.css,110,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,36
projects\style.css,111,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,18
projects\style.css,112,css,584338cd,djmans630,2025-02-07,21:22:48,-08:00,2025-02-07T21:22:48-08:00,0,22
projects\style.css,113,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,41
projects\style.css,114,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,54
projects\style.css,115,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,47
projects\style.css,116,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,117,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,118,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,13
projects\style.css,119,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,13
projects\style.css,120,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,19
projects\style.css,121,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,52
projects\style.css,122,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,57
projects\style.css,123,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,124,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,0
projects\style.css,125,css,1518c54d,djmans630,2025-02-07,21:28:29,-08:00,2025-02-07T21:28:29-08:00,0,0
projects\style.css,126,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,21
projects\style.css,127,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,10
projects\style.css,128,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,11
projects\style.css,129,css,d5464261,djmans630,2025-02-07,19:58:36,-08:00,2025-02-07T19:58:36-08:00,0,24
projects\style.css,130,css,584338cd,djmans630,2025-02-07,21:22:48,-08:00,2025-02-07T21:22:48-08:00,0,51
projects\style.css,131,css,5fb1c9c8,djmans630,2025-02-07,19:17:31,-08:00,2025-02-07T19:17:31-08:00,0,21
projects\style.css,132,css,1a068937,djmans630,2025-02-07,19:26:07,-08:00,2025-02-07T19:26:07-08:00,0,0
projects\style.css,133,css,1a068937,djmans630,2025-02-07,19:26:07,-08:00,2025-02-07T19:26:07-08:00,0,0
projects\style.css,134,css,1a068937,djmans630,2025-02-07,19:26:07,-08:00,2025-02-07T19:26:07-08:00,0,11
projects\style.css,135,css,1a068937,djmans630,2025-02-07,19:26:07,-08:00,2025-02-07T19:26:07-08:00,0,13
projects\style.css,136,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,19
projects\style.css,137,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,23
projects\style.css,138,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,36
projects\style.css,139,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,38
projects\style.css,140,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,12
projects\style.css,141,css,9451a97a,djmans630,2025-02-07,23:39:37,-08:00,2025-02-07T23:39:37-08:00,0,50
projects\style.css,142,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,0
projects\style.css,143,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,0
projects\style.css,144,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,11
projects\style.css,145,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,11
projects\style.css,146,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,16
projects\style.css,147,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,12
projects\style.css,148,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,16
projects\style.css,149,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,14
projects\style.css,150,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,14
projects\style.css,151,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,22
projects\style.css,152,css,335802e2,djmans630,2025-02-07,20:05:36,-08:00,2025-02-07T20:05:36-08:00,0,18
projects\style.css,153,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,154,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,155,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,5
projects\style.css,156,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,17
projects\style.css,157,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,15
projects\style.css,158,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,159,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,0
projects\style.css,160,css,60c760c3,djmans630,2025-02-07,20:56:13,-08:00,2025-02-07T20:56:13-08:00,0,10
